Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,109.400002,111.995003,106.709999,107.400002,47.740910,121268670
2022-02-25,109.769997,115.070000,109.559998,114.535004,50.912525,92128860
2022-02-28,113.400002,122.500000,112.919998,122.074997,54.264164,176054460
2022-03-02,122.074997,129.960007,121.855003,128.934998,57.313534,248475320
2022-03-03,130.600006,132.865005,129.365005,130.330002,57.933636,174503380
2022-03-04,130.240005,131.985001,127.300003,127.709999,56.769009,162829230
2022-03-07,127.589996,130.179993,126.400002,129.190002,57.426891,110400010
2022-03-08,129.300003,129.399994,124.400002,126.949997,56.431171,91078220
2022-03-09,127.389999,127.680000,124.860001,125.535004,55.802185,69348880
2022-03-10,125.785004,131.380005,124.099998,130.869995,58.173672,136740620
2022-03-11,131.500000,133.990005,129.619995,130.169998,57.862514,118822990
2022-03-14,130.500000,131.169998,127.769997,129.699997,57.653591,52780820
2022-03-15,129.179993,129.300003,122.800003,123.375000,54.842033,96143130
2022-03-16,124.500000,127.120003,124.019997,126.525002,56.242256,63024510
2022-03-17,127.500000,131.779999,127.110001,130.345001,57.940304,106239760
2022-03-21,130.800003,133.399994,129.449997,130.294998,57.918076,84227630
2022-03-22,132.000000,133.000000,128.804993,130.199997,57.875847,81795880
2022-03-23,132.399994,134.779999,129.235001,133.100006,59.164944,130552380
2022-03-24,133.095001,135.949997,132.595001,135.054993,60.033966,94605270
2022-03-25,135.490005,136.600006,133.354996,133.895004,59.518333,69457440
2022-03-28,134.000000,135.500000,132.759995,133.895004,59.518333,46554910
2022-03-29,134.399994,134.615005,132.699997,133.464996,59.327187,43202370
2022-03-30,133.500000,133.554993,130.000000,130.804993,58.144775,58483160
2022-03-31,130.800003,132.044998,130.009995,130.720001,58.106995,40067950
2022-04-01,131.000000,134.089996,130.544998,131.710007,58.547066,55321590
2022-04-04,131.710007,135.399994,131.445007,134.190002,59.649464,69670320
2022-04-05,134.845001,135.800003,132.925003,134.490005,59.782818,63296420
2022-04-06,135.000000,138.669998,134.679993,137.074997,60.931885,114097540
2022-04-07,137.699997,138.100006,134.100006,134.949997,59.987293,55650640
2022-04-08,136.095001,137.994995,135.625000,137.074997,60.931885,52287710
2022-04-11,137.070007,138.399994,135.300003,135.789993,60.360683,44778820
2022-04-12,135.300003,135.994995,129.610001,132.024994,58.687084,69191680
2022-04-13,133.494995,134.600006,131.500000,131.949997,58.653748,44937800
2022-04-18,133.190002,135.804993,132.884995,133.910004,59.524998,80700420
2022-04-19,135.259995,136.664993,130.899994,132.660004,58.969357,64772190
2022-04-20,132.970001,133.645004,130.304993,131.425003,58.420380,54100210
2022-04-21,131.600006,132.274994,128.585007,130.214996,57.882515,66690280
2022-04-22,130.160004,131.154999,127.375000,127.754997,56.789009,55848230
2022-04-25,125.000000,126.294998,121.279999,122.035004,54.246387,72310460
2022-04-26,123.500000,124.169998,122.500000,123.360001,54.835365,44812710
2022-04-27,122.699997,125.500000,121.040001,124.669998,55.417679,71209740
2022-04-28,125.949997,126.864998,124.300003,126.084999,56.046669,51295830
2022-04-29,126.800003,129.169998,126.565002,127.105003,56.500076,57173520
2022-05-02,125.699997,130.274994,124.875000,129.520004,57.573582,54426170
2022-05-04,132.729996,133.000000,125.449997,126.135002,56.068897,138374020
2022-05-05,128.000000,131.649994,127.800003,128.425003,57.086838,87338160
2022-05-06,126.800003,129.000000,124.300003,128.369995,57.062386,69256760
2022-05-09,126.000000,127.419998,124.400002,125.224998,55.664387,50552970
2022-05-10,125.099998,125.464996,115.855003,116.489998,51.781548,145537420
2022-05-11,117.500000,119.089996,112.339996,116.570000,51.817108,107063150
2022-05-12,115.690002,116.239998,110.300003,111.769997,49.683434,94191610
2022-05-13,113.500000,115.180000,109.199997,109.699997,48.763290,82924410
2022-05-16,111.900002,113.480003,109.400002,110.349998,49.052227,62665270
2022-05-17,112.400002,119.720001,111.535004,118.870003,52.839493,112876010
2022-05-18,119.699997,120.900002,117.500000,118.025002,52.463879,81575800
2022-05-19,115.099998,115.489998,111.519997,112.214996,49.881245,66545630
2022-05-20,116.235001,117.839996,114.120003,117.059998,52.034920,65527500
2022-05-23,109.699997,109.699997,100.154999,102.294998,45.471657,273883460
2022-05-24,103.099998,103.989998,100.199997,100.635002,44.733765,123116660
2022-05-25,100.635002,101.834999,99.180000,99.910004,44.411491,99343400
2022-05-26,100.699997,106.754997,99.525002,105.199997,46.762974,150536730
2022-05-27,106.250000,106.764999,103.199997,104.349998,46.385136,74772200
2022-05-30,105.900002,106.379997,104.349998,104.745003,46.560722,72701590
2022-05-31,104.500000,107.190002,103.699997,105.565002,46.925224,121248850
2022-06-01,106.550003,107.900002,105.330002,106.355003,47.276394,94055290
2022-06-02,106.775002,108.474998,105.910004,108.154999,48.076515,79177040
2022-06-03,109.199997,109.279999,106.500000,106.730003,47.443085,53954860
2022-06-06,106.500000,108.290001,104.919998,107.809998,47.923157,57262490
2022-06-07,106.699997,108.150002,106.355003,106.849998,47.496422,43341570
2022-06-08,108.099998,108.889999,107.404999,108.675003,48.307667,64734340
2022-06-09,107.495003,108.724998,104.120003,104.485001,46.445148,98547810
2022-06-10,103.000000,103.139999,101.065002,102.370003,45.504997,95225630
2022-06-13,100.430000,101.199997,99.000000,99.195000,44.093662,82235750
2022-06-14,98.824997,101.370003,98.555000,99.614998,44.280357,77202600
2022-06-15,95.394997,97.425003,95.065002,95.955002,44.955002,92443330
